Gebietsartschlüssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler gesamt;Wähler mit Wahlschein;Ungültige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÜNE;Anteil GRÜNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÄHLER;Anteil FREIE WÄHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÖDP;Anteil ÖDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BüSo;Anteil BüSo;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Partei³;Anteil V-Partei³
BTSB;15;21;43154;28730;14424;0;13709;13709;58;5240;38,38547 %;1837;13,45689 %;1814;13,28840 %;2162;15,83767 %;1092;7,99941 %;645;4,72493 %;220;1,61160 %;44;0,32232 %;121;0,88638 %;88;0,64464 %;12;0,08791 %;137;1,00359 %;0;0,00000 %;3;0,02198 %;27;0,19779 %;46;0,33697 %;3;0,02198 %;14;0,10256 %;100;0,73255 %;10;0,07325 %;36;0,26372 %
BTSB;16;21;61792;43009;18780;3;17682;17682;60;6119;34,72364 %;3005;17,05255 %;2219;12,59221 %;2143;12,16094 %;1642;9,31790 %;1249;7,08773 %;292;1,65702 %;72;0,40858 %;187;1,06117 %;120;0,68097 %;18;0,10215 %;188;1,06685 %;11;0,06242 %;6;0,03405 %;40;0,22699 %;54;0,30644 %;9;0,05107 %;23;0,13052 %;166;0,94200 %;26;0,14754 %;33;0,18727 %
BTSB;17;21;31409;20722;10684;3;9952;9952;21;2862;28,81885 %;1499;15,09415 %;1901;19,14208 %;1226;12,34518 %;786;7,91461 %;899;9,05246 %;196;1,97362 %;47;0,47327 %;94;0,94653 %;68;0,68472 %;8;0,08056 %;103;1,03716 %;5;0,05035 %;2;0,02014 %;22;0,22153 %;48;0,48334 %;3;0,03021 %;13;0,13090 %;107;1,07743 %;8;0,08056 %;34;0,34236 %
BTSB;18;21;34561;21448;13110;3;12293;12293;34;3879;31,64206 %;1751;14,28338 %;2404;19,61008 %;1869;15,24594 %;731;5,96297 %;949;7,74125 %;109;0,88914 %;31;0,25288 %;107;0,87283 %;48;0,39155 %;6;0,04894 %;99;0,80757 %;5;0,04079 %;2;0,01631 %;33;0,26919 %;49;0,39971 %;1;0,00816 %;20;0,16315 %;128;1,04413 %;5;0,04079 %;33;0,26919 %
BTSB;19;21;58982;37732;21248;2;20071;20071;47;7137;35,64223 %;2757;13,76848 %;2912;14,54255 %;3235;16,15561 %;1603;8,00539 %;1251;6,24750 %;294;1,46824 %;57;0,28466 %;187;0,93388 %;101;0,50439 %;17;0,08490 %;137;0,68418 %;5;0,02497 %;9;0,04495 %;34;0,16980 %;49;0,24471 %;1;0,00499 %;33;0,16480 %;141;0,70416 %;19;0,09489 %;45;0,22473 %
BTSB;20;21;30310;20351;9958;1;9421;9421;25;3520;37,46275 %;1398;14,87867 %;1267;13,48446 %;1330;14,15496 %;775;8,24819 %;535;5,69391 %;131;1,39421 %;34;0,36186 %;87;0,92593 %;69;0,73436 %;7;0,07450 %;89;0,94721 %;1;0,01064 %;3;0,03193 %;20;0,21286 %;31;0,32993 %;0;0,00000 %;10;0,10643 %;56;0,59600 %;12;0,12771 %;21;0,22350 %
BTSB;21;21;46944;30073;16870;1;15992;15992;51;5808;36,43435 %;2280;14,30274 %;2527;15,85221 %;2425;15,21235 %;1090;6,83771 %;920;5,77128 %;203;1,27345 %;55;0,34502 %;165;1,03507 %;83;0,52067 %;12;0,07528 %;115;0,72141 %;4;0,02509 %;3;0,01882 %;38;0,23838 %;38;0,23838 %;3;0,01882 %;15;0,09410 %;109;0,68377 %;15;0,09410 %;33;0,20701 %
BTSB;22;21;27150;18999;8151;0;7732;7732;35;3026;39,31402 %;1178;15,30466 %;899;11,67988 %;896;11,64090 %;761;9,88697 %;413;5,36573 %;131;1,70196 %;32;0,41575 %;74;0,96141 %;78;1,01338 %;6;0,07795 %;76;0,98740 %;3;0,03898 %;2;0,02598 %;19;0,24685 %;16;0,20787 %;3;0,03898 %;11;0,14291 %;51;0,66260 %;4;0,05197 %;18;0,23386 %
BTSB;23;21;20349;13382;6967;0;6588;6588;7;2675;40,64732 %;856;13,00714 %;845;12,83999 %;926;14,07081 %;561;8,52454 %;314;4,77131 %;101;1,53472 %;20;0,30391 %;51;0,77496 %;71;1,07886 %;7;0,10637 %;57;0,86613 %;0;0,00000 %;2;0,03039 %;13;0,19754 %;23;0,34949 %;0;0,00000 %;10;0,15195 %;31;0,47105 %;5;0,07598 %;13;0,19754 %
BTSB;24;21;33061;23751;9310;0;8733;8733;17;3369;38,65305 %;1358;15,58054 %;936;10,73887 %;1053;12,08123 %;927;10,63561 %;495;5,67921 %;168;1,92749 %;32;0,36714 %;60;0,68839 %;76;0,87196 %;8;0,09179 %;101;1,15879 %;6;0,06884 %;2;0,02295 %;9;0,10326 %;22;0,25241 %;3;0,03442 %;11;0,12620 %;49;0,56218 %;14;0,16062 %;17;0,19504 %
BTSB;25;21;35116;22797;12317;2;11433;11433;45;3617;31,76150 %;1842;16,17492 %;1840;16,15736 %;1361;11,95118 %;911;7,99965 %;983;8,63189 %;158;1,38743 %;42;0,36881 %;111;0,97471 %;82;0,72006 %;18;0,15806 %;143;1,25571 %;4;0,03512 %;4;0,03512 %;28;0,24587 %;46;0,40393 %;6;0,05269 %;17;0,14928 %;124;1,08887 %;18;0,15806 %;33;0,28978 %
BTSB;162;21;923612;594743;328833;36;308778;308778;857;100839;32,74833 %;45089;14,64304 %;52273;16,97611 %;47953;15,57315 %;21384;6,94464 %;21825;7,08786 %;3970;1,28929 %;1132;0,36763 %;2845;0,92394 %;1626;0,52806 %;225;0,07307 %;2650;0,86061 %;91;0,02955 %;67;0,02176 %;685;0,22246 %;1121;0,36405 %;71;0,02306 %;363;0,11789 %;2716;0,88204 %;293;0,09515 %;703;0,22831 %
BTSB;1;1;13614;7831;5783;0;11070;5499;25;3380;30,60208 %;1389;12,57583 %;2089;18,91354 %;2422;21,92847 %;539;4,88004 %;805;7,28837 %;59;0,53418 %;23;0,20824 %;80;0,72431 %;18;0,16297 %;5;0,04527 %;66;0,59756 %;3;0,02716 %;1;0,00905 %;25;0,22635 %;29;0,26256 %;2;0,01811 %;7;0,06338 %;76;0,68809 %;6;0,05432 %;21;0,19013 %
