MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Besucher*innen,insgesamt,2012,201206,225704,439310,-26.69,-48.62,370462
Besucher*innen,insgesamt,2012,201207,402051,435362,78.13,-7.65,367686
Besucher*innen,insgesamt,2012,201208,373759,354625,-7.04,5.4,369281
Besucher*innen,insgesamt,2012,201209,302707,274319,-19.01,10.35,371646
Besucher*innen,insgesamt,2012,201210,351548,326551,16.13,7.65,373730
Besucher*innen,insgesamt,2012,201211,506696,407966,44.13,24.2,381957
Besucher*innen,insgesamt,2012,201212,436837,419207,-13.79,4.21,383426
Besucher*innen,insgesamt,2011,Summe,4448931,4586807,,-3.01,
Besucher*innen,insgesamt,2011,201101,448441,544767,37.6,-17.68,374207
Besucher*innen,insgesamt,2011,201102,398006,492697,-11.25,-19.22,366316
Besucher*innen,insgesamt,2011,201103,405966,445079,2,-8.79,363056
Besucher*innen,insgesamt,2011,201104,274640,291629,-32.35,-5.83,361641
Besucher*innen,insgesamt,2011,201105,264538,368706,-3.68,-28.25,352960
Besucher*innen,insgesamt,2011,201106,439310,265631,66.07,65.38,367433
Besucher*innen,insgesamt,2011,201107,435362,341206,-0.9,27.6,375280
Besucher*innen,insgesamt,2011,201108,354625,460904,-18.54,-23.06,366423
Besucher*innen,insgesamt,2011,201109,274319,293921,-22.65,-6.67,364790
Besucher*innen,insgesamt,2011,201110,326551,358099,19.04,-8.81,362161
Besucher*innen,insgesamt,2011,201111,407966,398277,24.93,2.43,362968
Besucher*innen,insgesamt,2011,201112,419207,325891,2.76,28.63,370744
Besucher*innen,insgesamt,2010,Summe,4586807,4838190,,-5.2,
Besucher*innen,insgesamt,2010,201001,544767,456325,19.31,19.38,410553
Besucher*innen,insgesamt,2010,201002,492697,445101,-9.56,10.69,414519
Besucher*innen,insgesamt,2010,201003,445079,470748,-9.66,-5.45,412380
Besucher*innen,insgesamt,2010,201004,291629,279764,-34.48,4.24,413369
Besucher*innen,insgesamt,2010,201005,368706,318119,26.43,15.9,417584
Besucher*innen,insgesamt,2010,201006,265631,364194,-27.96,-27.06,409371
Besucher*innen,insgesamt,2010,201007,341206,468979,28.45,-27.24,398723
Besucher*innen,insgesamt,2010,201008,460904,401611,35.08,14.76,403664
Besucher*innen,insgesamt,2010,201009,293921,351620,-36.23,-16.41,398856
Besucher*innen,insgesamt,2010,201010,358099,398935,21.84,-10.24,395453
Besucher*innen,insgesamt,2010,201011,398277,426214,11.22,-6.55,393125
Besucher*innen,insgesamt,2010,201012,325891,456580,-18.17,-28.62,382234
